,Case Number,Date,Type,Country,Area,Activity,Injury,Fatal (Y/N)
785,2010.07.19,19-Jul-10,Unprovoked,USA,South Carolina,Swimming,Minor lacerations to left calf,N
786,2010.07.17.b,17-Jul-10,Unprovoked,USA,North Carolina,Swimming,Lacerations to right forearm,N
787,2010.07.17.a,17-Jul-10,Unprovoked,USA,Florida,Surfing,Minor lacerations to right foot,N
788,2010.07.16.b,16-Jul-10,Provoked,SPAIN,Grand Canary Island,Swimming,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N
789,2010.07.16.a,16-Jul-10,Unprovoked,USA,Texas,Fishing,Leg bitten,N
790,2010.07.11,11-Jul-10,Provoked,USA,Florida,Fishing,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N
791,2010.07.04,04-Jul-10,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Snorkeling,Left leg bitten,N
792,2010.07.03,03-Jul-10,Provoked,USA,New York,Fishing,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N
793,2010.07.02.b,02-Jul-10,Unprovoked,USA,California,Surfing,Laceration to left foot,N
794,2010.07.02.a,02-Jul-10,Unprovoked,USA,California,Stand-Up Paddleboarding,"No injury, board bumped by shark",N
795,2010.06.27,27-Jun-10,Unprovoked,USA,Texas,Surfing,Lacerations to right foot,N
796,2010.06.25.b,25-Jun-10,Unprovoked,USA,South Carolina,Boogie Boarding,Laceration to leg,N
797,2010.06.25.a,25-Jun-10,Unprovoked,USA,North Carolina,Swimming,Laceration to left foot,N
798,2010.06.15,15-Jun-10,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,Laceration to left foot,N
799,2010.06.10,10-Jun-10,Unprovoked,USA,Florida,Boogie Boarding,Lacerations to left calf and foot,N
800,2010.06.06,06-Jun-10,Unprovoked,AUSTRALIA,Western Australia,Surfing,Severe laceration to right knee,N
801,2010.06.00,Jun-10,Unprovoked,USA,Florida,Surfing,Lacerations to left foot,N
802,2010.05.30,30-May-10,Provoked,USA,Florida,Fishing,Laceration to left calf by hooked shark PROVOKED INCIDENT,N
803,2010.05.18.c,18-May-10,Unprovoked,VIETNAM,Binh Dinh Province,Rescuing,Minor laceration to leg,N
804,2010.05.18.b,18-May-10,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,Severe lacerations to left foot,N
805,2010.05.18.a,18-May-10,Unprovoked,AUSTRALIA,New South Wales,Surfing,Superficial lacerations to lower left leg,N
806,2010.05.03,03-May-10,Unprovoked,MADAGASCAR,Antsiranana Province,Scuba diving,Lacerations to arm & chest,N
807,2010.05.01,01-May-10,Unprovoked,USA,Florida,Wading,Minor puncture wounds to right ankle,N
808,2010.04.28,28-Apr-10,Provoked,USA,Florida,Measuring sharks,Arm bitten PROVOKED INCIDENT ,N
809,2010.04.19,19-Apr-10,Unprovoked,USA,Hawaii,Surfing,"No injury, surfboard bitten",N
810,2010.04.13,13-Apr-10,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Both feet bitten,N
811,2010.04.04,04-Apr-10,Unprovoked,EGYPT,Sinai Peninsula,Swimming / treading water,Lacerations to left ankle and foot,N
812,2010.03.27, 27-Mar-2010,Unprovoked,REUNION,Saint-Benoit,Surfing,"No injury, board bitten",N
813,2010.02.19,190Feb-2010,Unprovoked,NEW ZEALAND,South Island,Swimming,Bruised but otherwise unhurt,N
814,2010.02.16,16-Feb-10,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Lacerations to right leg,N
815,2010.02.15,15-Feb-10,Unprovoked,FIJI,Off Vanua Levu,Scuba diving,FATAL,Y
816,2010.02.13,13-Feb-10,Unprovoked,AUSTRALIA,Queensland,Snorkeling,Lacerations to legs & buttocks,N
817,2010.02.11,11-Feb-10,Unprovoked,AUSTRALIA,New South Wales,Surfing,"Minor injury, lacerations to left lower leg",N
818,2010.02.06.R,Reported 06-Feb-2010,Provoked,NEW ZEALAND,South Island,Spearfishing,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",N
819,2010.02.06.b,06-Feb-10,Unprovoked,AUSTRALIA,New South Wales,Body boarding,"No injury, shark & board collided",N
820,2010.02.06.a,06-Feb-10,Provoked,USA,Florida,Surf fishing / wading,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N
821,2010.02.04,04-Feb-10,Invalid,GUAM,Merizo,Spearfishing (free diving),Shark bites were post-mortem,Y
822,2010.02.03,03-Feb-10,Unprovoked,USA,Florida,Kite Boarding,FATAL,Y
823,2010.02.01,01-Feb-10,Provoked,NEW ZEALAND,South Island,Boogie Boarding,Stepped on shark PROVOKED INCIDENT,N
824,2010.01.30,31-Jan-10,Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,Foot bitten,N
825,2010.01.27,27-Jan-10,Unprovoked,AUSTRALIA,Queensland,Surfing,"No injury, surfboard bitten",N
826,2010.01.22.b,22-Jan-10,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,Surfing,Laceration to bottom of foot,N
827,2010.01.22.a,22-Jan-10,Unprovoked,AUSTRALIA,Victoria,Surfing,Lacerations to right hand ,N
828,2010.01.12,12-Jan-10,Unprovoked,SOUTH AFRICA,Western Province,Standing,FATAL,Y
829,2010.01.09.d,09-Jan-10,Unprovoked,AUSTRALIA,Torres Strait,Snorkeling,2 sets of minor lacerations below her right knee,N
830,2010.01.09.c,09-Jan-10,Unprovoked,VIETNAM,Binh Dinh Province,,Minor injuries,N
831,2010.01.09.b,09-Jan-10,Unprovoked,VIETNAM,Binh Dinh Province,,Right wrist bitten,N
832,2010.01.09.a,09-Jan-10,Unprovoked,VIETNAM,Binh Dinh Province,Bathing,Left arm bitten twice,N
833,2010.01.06,06-Jan-10,Unprovoked,USA,Florida,Spearfishing,Lacerations to  arm,N
834,2010.01.05,05-Jan-10,Unprovoked,SOUTH AFRICA,Eastern Province,Surfing,"No injury, reportedly knocked of his board by a shark",N
835,2009.12.29,29-Dec-09,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Wading,Lacerations to  left foot,N
836,2009.12.26,26-Dec-09,Provoked,AUSTRALIA,New South Wales,Swimming,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N
837,2009.12.22,22-Dec-09,Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,Multiple lacerations to right torso & arm. Defense wounds on  hands,N
838,2009.12.20.b,20-Dec-09,Boat,AUSTRALIA,Queensland,Kayaking,"No injury to occupants, kayak bumped by shark",N
839,2009.12.20.a,20-Dec-09,Unprovoked,AUSTRALIA,Queensland,Spearfishing,Lacerations to hand & forearm,N
840,2009.12.18,18-Dec-09,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddling on kneeboard,FATAL,Y
841,2009.12.18,18-Dec-09,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surfing,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",N
842,2009.12.16,16-Dec-09,Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,FATAL,Y
843,2009.12.13,13-Dec-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,Laceration to big toe,N
844,2009.12.12,12-Dec-09,Boat,AUSTRALIA,New South Wales,Rowing,No injury to occupants; shark bit steering oar,N
845,2009.12.06,05-Dec-09,Provoked,USA,New Jersey,Diving,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N
846,2009.11.25,25-Nov-09,Invalid,USA,California,Surfing,Puncture wounds to right foot,N
847,2009.11.24,24-Nov-09,Unprovoked,USA,Florida,Wading,Left foot bitten,N
848,2009.11.16.b,16-Nov-09,Unprovoked,USA,California,Fishing,Puncture wounds and minor lacerations to dorsal surface of his left hand,N
849,2009.11.16.a,16-Nov-09,Unprovoked,USA,Florida,Surfing,Foot bitten,N
850,2009.11.13,13-Nov-09,Unprovoked,USA,Florida,Surfing,Foot bitten,N
851,2009.11.11,11-Nov-09,Unprovoked,USA,Florida,Surfing,Foot bitten,N
852,2009.11.08,08-Nov-09,Unprovoked,AUSTRALIA,South Australia,Kayaking,Ankle bitten,N
853,2009.11.05,05-Nov-09,Unprovoked,USA,California,Surfing,"No injury, board broken in half",N
854,2009.10.30,30-Oct-09,Unprovoked,AUSTRALIA,Victoria,Kayaking,"No injury, shark bit kayak",N
855,2009.10.29.R,Reported 29-Oct-2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,Left ankle & foot bitten,N
856,2009.10.28,28-Oct-09,Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,"No injury, shark bit rear of paddleboard",N
857,2009.10.24,24-Oct-09,Unprovoked,USA,California,Surfing,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N
858,2009.10.19,19-Oct-09,Unprovoked,USA,Hawaii,Surfing,Bitten on upper right thigh & right ankle,N
859,2009.10.18,18-Oct-09,Unprovoked,PANAMA,Bocas,Wading,Arm & torso bitten,N
860,2009.10.17,17-Oct-09,Provoked,SCOTLAND,Fife,Diving,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,N
861,2009.10.14.R,Reported 14-Oct-2009,Unprovoked,AUSTRALIA,Western Australia,Diving,Severe lacerations to lower right leg,N
862,2009.10.09,09-Oct-09,Unprovoked,USA,California,Surfing,Laceration to shin of left leg,N
863,2009.10.02,02-Oct-09,Provoked,UNITED KINGDOM,Devon,Fishing,Injury to forearm from shark's spine PROVOKED INCIDENT ,N
864,2009.09.26,26-Sep-09,Unprovoked,USA,Florida,Swimming,Laceration to right foot,N
865,2009.09.18,18-Sep-09,Unprovoked,VIETNAM,,,Lower right leg bitten,N
866,2009.09.15,15-Sep-09,Provoked,SOMALIA,,Fishing,Arm bitten PROVOKED INCIDENT ,N
867,2009.09.13,13-Sep-09,Provoked,BRAZIL,Pernambuco,,Cause of death was drowning; his remains were scavenged by sharks,Y
868,2009.09.12,12-Sep-09,Invalid,USA,North Carolina,Swimming,FATAL,Y
869,2009.09.07,07-Sep-09,Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl  believed to be drowning",FATAL,Y
870,2009.09.02,02-Sep-09,Invalid,NEVIS,,Swimming,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,Y
871,2009.09.01,01-Sep-09,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,Injuries to face & neck PROVOKED INCIDENT,N
872,2009.08.30,30-Aug-09,Unprovoked,USA,California,Surfing,No injury,N
873,2009.08.29,29-Aug-09,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,FATAL,Y
874,2009.08.25,25-Aug-09,Unprovoked,USA,California,Swimming,Puncture wounds to left foot & calf,N
875,2009.08.11,11-Aug-09,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,"No injury, shark bit bodyboard",N
876,2009.08.10,10-Aug-09,Unprovoked,USA,Florida,Swimming,Puncture marks on left foot,N
877,2009.08.06,06-Aug-09,Unprovoked,USA,Hawaii,Surfing,"No injury, surfboard bitten",N
878,2009.08.01,01-Aug-09,Unprovoked,USA,Louisiana,Wade Fishing,Right ankle & foot bitten,N
879,2009.07.31,31-Jul-09,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,Lacerations to calf,N
880,2009.07.30,30-Jul-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,Left forearm grazed & puncture marks in wetsuit,N
881,2009.07.29,29-Jul-09,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,Foot bitten,N
882,2009.07.24.R,Reported 24-Jul-2009,Unprovoked,KENYA,Mombasa,Washing his feet,FATAL,Y
883,2009.07.24.b,24-Jul-09,Unprovoked,USA,Texas,Wading,Lacerations to anterior left lower leg,N
884,2009.07.24.a,24-Jul-09,Invalid,SPAIN,Catalunya,Swimming,Laceration to left foot,N
885,2009.07.22.b,22-Jul-09,Unprovoked,USA,North Carolina,Swimming,Laceration to left foot,N
886,2009.07.22.a,22-Jul-09,Unprovoked,USA,Florida,Swimming,Laceration to lower right leg,N
887,2009.07.18,18-Jul-09,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,Severe bite to right leg,N
888,2009.07.11.b,11-Jul-09,Provoked,BAHAMAS,,Spearfishing,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,N
889,2009.07.11.a,11-Jul-09,Unprovoked,USA,California,Paddle-surfing,"No injury, shark collided with surfer & board",N
890,2009.07.07,07-Jul-09,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Leg bitten,N
891,2009.07.05,05-Jul-09,Unprovoked,USA,Florida,Boogie Boarding,Right ankle bitten,N
892,2009.07.04,04-Jul-09,Provoked,USA,Florida,Swimming,Thigh injured by hooked shark PROVOKED INCIDENT,N
893,2009.06.27,27-Jun-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,2-inch laceration to upper left arm,N
894,2009.06.21,21-Jun-09,Invalid,USA,California,Surfing,Puncture wounds to foot,N
895,2009.06.16,16-Jun-09,Invalid,USA,Florida,Crawling,2-inch laceration to upper left arm,N
896,2009.06.14.R,Reported 14-Jun-2009,Provoked,VIETNAM,,Fishing for sharks,Hand bitten by hooked shark PROVOKED INCIDENT,N
897,2009.06.02.b,02-Jun-09,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,Lacerations to left hand,N
898,2009.06.02.a,02-Jun-09,Unprovoked,EGYPT,St. Johns Reef,Scuba diving,3 cm laceration to shoulder,N
899,2009.06.01,01-Jun-09,Unprovoked,EGYPT,St. Johns Reef,Snorkeling,FATAL,Y
900,2009.05.31,31-May-09,Provoked,TAIWAN,Off Green Island,Fishing,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,N
901,2009.05.25,25-May-09,Provoked,USA,Florida,Swimming,Right foot bitten,N
902,2009.05.17,17-May-09,Unprovoked,USA,Florida,Surfing,Lacerations to left leg & foot,N
903,2009.05.16.b,16-May-09,Unprovoked,USA,Florida,Surfing,Lacerations to right foot,N
904,2009.05.16.a,16-May-09,Unprovoked,USA,Florida,Surfing,Lacerations to right hand,N
905,2009.05.12,12-May-09,Provoked,GUAM,North Region,Spearfishing,Speared shark bit his forearm PROVOKED INCIDENT,N
906,2009.05.06,06-Mar-09,Provoked,BAHAMAS,Exuma Islands,Spearfishing,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,N
907,2009.04.28,28-Apr-09,Unprovoked,USA,Florida,,Multiple lacerations to right foot & ankle,N
908,2009.04.25.R,Reported 25-Apr-2009,Unprovoked,USA,California,Surfing,No injury,N
909,2009.04.21,21-Apr-09,Unprovoked,USA,Florida,Surfing,3 puncture wounds to posterior right ankle,N
910,2009.04.20,20-Apr-09,Unprovoked,PHILIPPINES,Batangas province,Swimming,Legs bitten,N
911,2009.04.19,19-Apr-09,Unprovoked,USA,Florida,Surfing,Left foot bitten,N
912,2009.04.12,12-Apr-09,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,"No injury, catapulted into the water & ski damage",N
913,2009.04.17.,17-Apr-09,Unprovoked,USA,Florida,Surfing,Laceration to forearm,N
914,2009.04.11,11-Apr-09,Invalid,USA,Hawaii,Spearfishing,Missing,N
915,2009.04.06.b,06-Apr-09,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,Body not recovered,Y
916,2009.04.06.a,06-Apr-09,Unprovoked,USA,California,Spearfishing,Shark struck him but the diver was not injured,N
917,2009.04.03,03-Apr-09,Unprovoked,USA,Florida,Wading,Lacerations to right foot and ankle,N
918,2009.03.27,27-Mar-09,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing ,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,N
919,2009.03.21,21-Mar-09,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,FATAL,Y
920,2009.03.20,20-Mar-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,"Laceration to right foot, puncture wounds to calf",N
921,2009.03.19.b,19-Mar-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, shark damaged surfboard",N
922,2009.03.19.a,19-Mar-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, shark bit nose of surfboard",N
923,2009.03.18.a,18-Mar-09,Unprovoked,USA,Florida,Surfing,Minor bite to ankle,N
924,2009.03.17.R,Reported 17-Mar-2009,Unprovoked,MALAYSIA,Strait of Malacca,Feeding fish,Minor injury,N
925,2009.03.17,17-Mar-09,Unprovoked,USA,Hawaii,Swimming,"Minor injury, bite chest and left calf",N
926,2009.03.16.R,Reported 16-Mar-2009,Provoked,AUSTRALIA,Western Australia,Wading,Thigh bitten when he trod on the shark PROVOKED INCIDENT,N
927,2009.03.06,06-Mar-09,Unprovoked,NEW CALEDONIA,South Province,Surfing,FATAL,Y
928,2009.03.02,02-Mar-09,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,N
929,2009.03.01.b,01-Mar-09,Boat,NEW ZEALAND,North Island,Fishing,"No injury to occupants, shark bit propeller",N
930,2009.03.01.a,01-Mar-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,Lacerations to leg,N
931,2009.02.22,22-Feb-09,Unprovoked,AUSTRALIA,Queensland,Fishing,Severe laceration to finger,N
932,2009.02.18,18-Feb-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury to surfer, but the nose of his board was broken",N
933,2009.02.12,12-Feb-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,Severe injury to hand ,N
934,2009.02.11,11-Feb-09,Unprovoked,AUSTRALIA,New South Wales,"Diving, but on the surface when bitten by the shark",Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,N
935,2009.02.08,08-Feb-09,Sea Disaster,USA,Puerto Rico,Air Disaster,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y
936,2009.02.07.b,07-Feb-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, surfboard dented",N
937,2009.02.07.a,07-Feb-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, flung from surfboard by the shark",N
938,2009.01.27.R,Reported 27-Jan-2009,Provoked,AZORES,,Fishing,Left forearm bitten PROVOKED INCIDENT,N
939,2009.01.26.R,Reported 26-Jan-2009,Invalid,BRAZIL,,,Probable drowning with post-mortem bites,Y
940,2009.01.25,25-Jan-09,Unprovoked,CUBA,Guantanamo Province,Spearfishing,Severe lacerations to lower left leg,N
941,2009.01.24.c,24-Jan-09,Boat,NEW ZEALAND,North Island,Fishing,"No injury to occupant, shark removed small auxiliary outboard motor",N
942,2009.01.24.b,24-Jan-09,Unprovoked,AUSTRALIA,New South Wales,Swimming,Hand injured,N
943,2009.01.24.a,24-Jan-09,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,FATAL,Y
944,2009.01.23,23-Jan-09,Invalid,BRAZIL,Maranhão,Swimming,"Drowned, body scavenged by shark",Y
945,2009.01.18,18-Jan-09,Boat,AUSTRALIA,Victoria,Fishing,"No injury to occupants, shark bit propeller",N
946,2009.01.16,16-Jan-09,Unprovoked,NEW ZEALAND,South Island,Surfing,"No injury, bumped off board by the shark",N
947,2009.01.13.R,Reported 13-Jan-2009,Unprovoked,SOUTH AFRICA,Western Cape Province,,FATAL,Y
948,2009.01.12,12-Jan-09,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,Puncture wounds to right calf,N
949,2009.01.11.b,11-Jan-09,Unprovoked,AUSTRALIA,Tasmania,Surfing,Severe lacerations to right leg,N
950,2009.01.11.a,11-Jan-09,Unprovoked,AUSTRALIA,New South Wales,Surfing,Left thigh severely bitten,N
951,2009.01.10.R,    10-Jan-2009,Boat,NEW ZEALAND,North Island,Fishing,"No injury to occupants, shark hit boat & bit outboard motor",N
952,2009.01.10.a,10-Jan-09,Unprovoked,ECUADOR,Galapagos Islands,Surfing,Right lower leg bitten & defense wounds to hand,N
953,2009.01.06,06-Jan-09,Unprovoked,NEW ZEALAND,North Island,Swimming,Posterior thigh bitten,N
954,2009.01.00,Jan-09,Unprovoked,CUBA,Guantanamo Province,Spearfishing,Lacerations to right calf,N
955,2008.12.30,30-Dec-08,Invalid,AUSTRALIA,Western Australia,Crabbing,"Reports said a shark attacked the dinghy, but Vickery said it did not",N
956,2008.12.27.d,27-Dec-08,Boat,AUSTRALIA,Tasmania,Yacht race,No injury to occupants -  shark became entangled in aft rudder,N
957,2008.12.27.c,27-Dec-08,Unprovoked,AUSTRALIA,New South Wales,Boogie Boarding,"No injury, shark tore his swim fin",N
958,2008.12.27.b,27-Dec-08,Unprovoked,AUSTRALIA,New South Wales,Kayaking,"No injury, shark struck kayak, catapulting him into the water",N
959,2008.12.27.a,27-Dec-08,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,FATAL,Y
960,2008.12.20,20-Dec-08,Unprovoked,USA,California,Kayaking,"No injury, shark struck paddle",N
961,2008.12.14,14-Dec-08,Unprovoked,NEW ZEALAND,North Island,Fishing,Lacerations to left calf and ankle,N
962,2008.12.10,10-Dec-08,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",N
963,2008.12.06,06-Dec-06,Boat,AUSTRALIA,New South Wales,Fishing,Shark bit boats sea anchor,N
964,2008.12.00,Dec-08,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,FATAL,Y
965,2008.11.28,28-Nov-08,Unprovoked,EGYPT,Red Sea,Scuba diving,Lacerations to fingers,N
966,2008.11.25,25-Nov-08,Sea Disaster,PHILIPPINES,Batanes Provine,Sinking of the cargo ship Mark Jason,"Of the 20 crew, 4 were bitten by shark. None of their iinjuries were life-threatening",N
967,2008.11.24,24-Nov-08,Unprovoked,ECUADOR,Galapagos Islands,,Leg bitten,N
968,2008.11.09.b,09-Nov-08,Boat,AUSTRALIA,South Australia,Fishing,"No injury to occupant, shark bit dinghy & motor",N
969,2008.11.09.a,09-Nov-08,Sea Disaster,TAIWAN,,Fishing boat swamped in storm,FATAL,Y
970,2008.11.06,06-Nov-08,Unprovoked,PHILIPPINES,Luzon,Fishing,Torso & righ arm bitten FATAL,Y
971,2008.10.22,22-Oct-08,Provoked,AUSTRALIA,New South Wales,Scuba diving,Small laceration to head from captive shark,N
972,2008.10.21,21-Oct-08,Unprovoked,NEW CALEDONIA,,Spearfishing,Legs bitten,N
973,2008.10.12,12-Oct-08,Provoked,AUSTRALIA,Northern Territory,Fishing,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N
974,2008.10.11,11-Oct-08,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, board damaged",N
975,2008.10.08,08-Oct-08,Unprovoked,USA,Florida,Fishing,Lacerations,N
976,2008.10.06,06-Oct-08,Unprovoked,CROATIA," Split-Dalmatia Count,",Spearfishing,Calf bitten,N
977,2008.09.28.b,28-Sep-08,Unprovoked,USA,Florida,Surfing,Small puncture wounds to the heel of left foot,N
978,2008.09.28.a,28-Sep-08,Unprovoked,USA,Florida,Surfing,Right foot bitten,N
979,2008.09.15,15-Sep-08,Provoked,AUSTRALIA,Northern Territory,Swimming,Right hand lacerated by netted shark PROVOKED INCIDENT,N
980,2008.09.14,14-Sep-08,Unprovoked,USA,Florida,Swimming,Lacerations to foot,N
981,2008.09.09,09-Sep-08,Unprovoked,USA,Hawaii,Surfing,Bitten on right thigh & calf,N
982,2008.09.08,08-Sep-08,Unprovoked,USA,California,Surfing,"No injury to surfer, board bitten",N
983,2008.09.07,07-Sep-08,Unprovoked,AUSTRALIA,New South Wales,Surfing,Shark became tangled in his surfboard leash. The surfer was not injured,N
984,2008.09.06.b,06-Sep-08,Unprovoked,USA,Florida,Surfing,Minor injury to foot,N
985,2008.09.06.a,06-Sep-08,Unprovoked,USA,Florida,Surfing,Minor injury to foot,N
986,2008.09.01,01-Sep-08,Unprovoked,USA,Florida,Surfing,Shark bumped right ankle,N
987,2008.09.00,Sep-08,Unprovoked,USA,Florida,Surfing,Right hand bitten,N
988,2008.08.30.c,30-Aug-08,Unprovoked,AUSTRALIA,New South Wales,Surfing,"No injury, bumped off board by the shark",N
989,2008.08.30.b,30-Aug-08,Invalid,USA,Hawaii,Swimming,Death was probably due to drowning,Y
990,2008.08.30.a,30-Aug-08,Provoked,ENGLAND,North Devon,Fishing,Wrist bitten by hooked shark PROVOKED INCIDENT,N
991,2008.08.28,28-Aug-08,Unprovoked,USA,Florida,Surfing,Superfical cut to left ankle,N
992,2008.08.27,27-Aug-08,Unprovoked,USA,Florida,Surfing,Lacerations to lower left leg,N
993,2008.08.24,24-Aug-08,Unprovoked,USA,Florida,"Swimming, towing surfboard",Minor injury to left foot,N
994,2008.08.22,24-Aug-08,Invalid,USA,North Carolina,Surfing,Calf bitten,N
995,2008.08.20,20-Aug-08,Unprovoked,USA,Florida,Swimming,3 lacerations to forearm,N
996,2008.08.18,18-Aug-08,Invalid,USA,South Carolina,,Minor injuries,N
997,2008.08.16,16-Aug-08,Unprovoked,USA,US Virgin Islands,Treading water,Severe lacerations to left foot,N
998,2008.08.12,12-Aug-08,Unprovoked,USA,Florida,Wading,Puncture wounds & 3-inch laceration to right calf,N
999,2008.08.11,11-Aug-08,Unprovoked,USA,Hawaii,Diving,"No injury, shark grabbed his bag of fish",N
1000,2008.07.30.R,30-Jul-08,Unprovoked,AUSTRALIA,Victoria,Surfing,"No injury, surfboard leash severed",N
1001,2008.07.30,Reported 30-Jul-2008,Unprovoked,SOUTH AFRICA,,,Lacerations to fingers,N
1002,2008.07.27,27-Jul-08,Unprovoked,PANAMA,San Carlos,Swimming or surfing,5 lacerations to left foot,N
1003,2008.07.26.b,26-Jul-08,Unprovoked,MEXICO,Cabo San Lucas,Swimming,3 puncture wounds to toe,N
1004,2008.07.26.a,26-Jul-08,Unprovoked,USA,Hawaii,Swimming,Minor injury,N
1005,2008.07.25.b,25-Jul-08,Unprovoked,USA,Florida,Surfing,Right foot bitten,N
1006,2008.07.25.a,25-Jul-08,Unprovoked,USA,Hawaii,Snorkeling,Forearm bitten ,N
1007,2008.07.24.b,24-Jul-08,Unprovoked,USA,North Carolina,Wading,Minor lacerations to  toe,N
1008,2008.07.24.a,24-Jul-08,Unprovoked,USA,North Carolina,Wading,Lacerations to dorsum of right foot ,N
1009,2008.07.23,23-Jul-08,Provoked,USA,Florida,Surfing,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N
1010,2008.07.19,19-Jul-08,Unprovoked,USA,Florida,Wading,Lacerations to lower left leg,N
1011,2008.07.18,18-Jul-08,Unprovoked,EGYPT,,Diving,Leg severed,N
1012,2008.07.13,13-Jul-08,Invalid,USA,North Carolina,Body surfing,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",N
1013,2008.07.11,11-Jul-08,Unprovoked,USA,South Carolina,Surfing,Laceration to foream,N
1014,2008.07.09,09-Jul-08,Unprovoked,USA,North Carolina,Swimming,Lacerations to  right foot,N
1015,2008.07.05,05-Jul-08,Unprovoked,USA,South Carolina,,Lacerations to right foot,N
1016,2008.07.00,Late Jul-2008,Boat,UNITED KINGDOM,Sussex,Rowing an inflatable dinghy,Shark leapt into & damaged the dinghy but no injury to occupants,N
1017,2008.06.28.c,28-Jun-08,Invalid,USA,Hawaii,Wading,Probable drowning with post-mortem bites,Y
1018,2008.06.28.b,28-Jun-08,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,Lacerations to calf,N
1019,2008.06.28.a,28-Jun-08,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,"No injury, ski bitten",N
1020,2008.06.26.R,Reported 26-Jun-2008,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing (free diving),No injury,N
